,CUSTOMER_ID,SERVICO_TELEFONE,CNAE,PORTE,ESTADO,SERVICO_INTERNET,SERVICO_STREAMING,TENURE,QTD_CONTRATO,TEMPO_MESES_CONTRATO,VALOR_MEDIO_PLANO,QTD_RECARGAS_M1,QTD_RECARGAS_M2,QTD_RECARGAS_M3,QTD_RECARGAS_M4,QTD_RECARGAS_M5,QTD_RECARGAS_M6,QTD_RECARGAS_M7,QTD_RECARGAS_M8,QTD_RECARGAS_M9,QTD_RECARGAS_M10,QTD_RECARGAS_M11,QTD_RECARGAS_M12,QTD_RECARGAS_M13,QTD_RECARGAS_M14,QTD_RECARGAS_M15,QTD_RECARGAS_M16,QTD_RECARGAS_M17,QTD_RECARGAS_M18,QTD_RECARGAS_M19,QTD_RECARGAS_M20,QTD_RECARGAS_M21,QTD_RECARGAS_M22,QTD_RECARGAS_M23,QTD_RECARGAS_M24,VLR_RECARGAS_M1,VLR_RECARGAS_M2,VLR_RECARGAS_M3,VLR_RECARGAS_M4,VLR_RECARGAS_M5,VLR_RECARGAS_M6,VLR_RECARGAS_M7,VLR_RECARGAS_M8,VLR_RECARGAS_M9,VLR_RECARGAS_M10,VLR_RECARGAS_M11,VLR_RECARGAS_M12,VLR_RECARGAS_M13,VLR_RECARGAS_M14,VLR_RECARGAS_M15,VLR_RECARGAS_M16,VLR_RECARGAS_M17,VLR_RECARGAS_M18,VLR_RECARGAS_M19,VLR_RECARGAS_M20,VLR_RECARGAS_M21,VLR_RECARGAS_M22,VLR_RECARGAS_M23,VLR_RECARGAS_M24,QTD_SUPORTE_MOTIVO_1_M1,QTD_SUPORTE_MOTIVO_1_M3,QTD_SUPORTE_MOTIVO_1_M6,QTD_SUPORTE_MOTIVO_1_M12,QTD_SUPORTE_MOTIVO_1_M18,QTD_SUPORTE_MOTIVO_1_M24,QTD_SUPORTE_MOTIVO_2_M1,QTD_SUPORTE_MOTIVO_2_M3,QTD_SUPORTE_MOTIVO_2_M6,QTD_SUPORTE_MOTIVO_2_M12,QTD_SUPORTE_MOTIVO_2_M18,QTD_SUPORTE_MOTIVO_2_M24,QTD_SUPORTE_MOTIVO_3_M1,QTD_SUPORTE_MOTIVO_3_M3,QTD_SUPORTE_MOTIVO_3_M6,QTD_SUPORTE_MOTIVO_3_M12,QTD_SUPORTE_MOTIVO_3_M18,QTD_SUPORTE_MOTIVO_3_M24,QTD_SUPORTE_MOTIVO_4_M1,QTD_SUPORTE_MOTIVO_4_M3,QTD_SUPORTE_MOTIVO_4_M6,QTD_SUPORTE_MOTIVO_4_M12,QTD_SUPORTE_MOTIVO_4_M18,QTD_SUPORTE_MOTIVO_4_M24,QTD_SUPORTE_MOTIVO_5_M1,QTD_SUPORTE_MOTIVO_5_M3,QTD_SUPORTE_MOTIVO_5_M6,QTD_SUPORTE_MOTIVO_5_M12,QTD_SUPORTE_MOTIVO_5_M18,QTD_SUPORTE_MOTIVO_5_M24,QTD_SUPORTE_MOTIVO_6_M1,QTD_SUPORTE_MOTIVO_6_M3,QTD_SUPORTE_MOTIVO_6_M6,QTD_SUPORTE_MOTIVO_6_M12,QTD_SUPORTE_MOTIVO_6_M18,QTD_SUPORTE_MOTIVO_6_M24,QTD_SUPORTE_MOTIVO_7_M1,QTD_SUPORTE_MOTIVO_7_M3,QTD_SUPORTE_MOTIVO_7_M6,QTD_SUPORTE_MOTIVO_7_M12,QTD_SUPORTE_MOTIVO_7_M18,QTD_SUPORTE_MOTIVO_7_M24,QTD_SUPORTE_MOTIVO_8_M1,QTD_SUPORTE_MOTIVO_8_M3,QTD_SUPORTE_MOTIVO_8_M6,QTD_SUPORTE_MOTIVO_8_M12,QTD_SUPORTE_MOTIVO_8_M18,QTD_SUPORTE_MOTIVO_8_M24,QTD_SUPORTE_MOTIVO_9_M1,QTD_SUPORTE_MOTIVO_9_M3,QTD_SUPORTE_MOTIVO_9_M6,QTD_SUPORTE_MOTIVO_9_M12,QTD_SUPORTE_MOTIVO_9_M18,QTD_SUPORTE_MOTIVO_9_M24,QTD_SUPORTE_MOTIVO_10_M1,QTD_SUPORTE_MOTIVO_10_M3,QTD_SUPORTE_MOTIVO_10_M6,QTD_SUPORTE_MOTIVO_10_M12,QTD_SUPORTE_MOTIVO_10_M18,QTD_SUPORTE_MOTIVO_10_M24,QTD_SUPORTE_MOTIVO_11_M1,QTD_SUPORTE_MOTIVO_11_M3,QTD_SUPORTE_MOTIVO_11_M6,QTD_SUPORTE_MOTIVO_11_M12,QTD_SUPORTE_MOTIVO_11_M18,QTD_SUPORTE_MOTIVO_11_M24,QTD_SUPORTE_MOTIVO_12_M1,QTD_SUPORTE_MOTIVO_12_M3,QTD_SUPORTE_MOTIVO_12_M6,QTD_SUPORTE_MOTIVO_12_M12,QTD_SUPORTE_MOTIVO_12_M18,QTD_SUPORTE_MOTIVO_12_M24,QTD_SUPORTE_MOTIVO_13_M1,QTD_SUPORTE_MOTIVO_13_M3,QTD_SUPORTE_MOTIVO_13_M6,QTD_SUPORTE_MOTIVO_13_M12,QTD_SUPORTE_MOTIVO_13_M18,QTD_SUPORTE_MOTIVO_13_M24,QTD_SUPORTE_MOTIVO_14_M1,QTD_SUPORTE_MOTIVO_14_M3,QTD_SUPORTE_MOTIVO_14_M6,QTD_SUPORTE_MOTIVO_14_M12,QTD_SUPORTE_MOTIVO_14_M18,QTD_SUPORTE_MOTIVO_14_M24,QTD_SUPORTE_MOTIVO_15_M1,QTD_SUPORTE_MOTIVO_15_M3,QTD_SUPORTE_MOTIVO_15_M6,QTD_SUPORTE_MOTIVO_15_M12,QTD_SUPORTE_MOTIVO_15_M18,QTD_SUPORTE_MOTIVO_15_M24,QTD_SUPORTE_MOTIVO_16_M1,QTD_SUPORTE_MOTIVO_16_M3,QTD_SUPORTE_MOTIVO_16_M6,QTD_SUPORTE_MOTIVO_16_M12,QTD_SUPORTE_MOTIVO_16_M18,QTD_SUPORTE_MOTIVO_16_M24,QTD_SUPORTE_MOTIVO_17_M1,QTD_SUPORTE_MOTIVO_17_M3,QTD_SUPORTE_MOTIVO_17_M6,QTD_SUPORTE_MOTIVO_17_M12,QTD_SUPORTE_MOTIVO_17_M18,QTD_SUPORTE_MOTIVO_17_M24,QTD_SUPORTE_MOTIVO_18_M1,QTD_SUPORTE_MOTIVO_18_M3,QTD_SUPORTE_MOTIVO_18_M6,QTD_SUPORTE_MOTIVO_18_M12,QTD_SUPORTE_MOTIVO_18_M18,QTD_SUPORTE_MOTIVO_18_M24,QTD_SUPORTE_MOTIVO_19_M1,QTD_SUPORTE_MOTIVO_19_M3,QTD_SUPORTE_MOTIVO_19_M6,QTD_SUPORTE_MOTIVO_19_M12,QTD_SUPORTE_MOTIVO_19_M18,QTD_SUPORTE_MOTIVO_19_M24,QTD_SUPORTE_MOTIVO_20_M1,QTD_SUPORTE_MOTIVO_20_M3,QTD_SUPORTE_MOTIVO_20_M6,QTD_SUPORTE_MOTIVO_20_M12,QTD_SUPORTE_MOTIVO_20_M18,QTD_SUPORTE_MOTIVO_20_M24,QTD_SUPORTE_MOTIVO_21_M1,QTD_SUPORTE_MOTIVO_21_M3,QTD_SUPORTE_MOTIVO_21_M6,QTD_SUPORTE_MOTIVO_21_M12,QTD_SUPORTE_MOTIVO_21_M18,QTD_SUPORTE_MOTIVO_21_M24,QTD_SUPORTE_MOTIVO_22_M1,QTD_SUPORTE_MOTIVO_22_M3,QTD_SUPORTE_MOTIVO_22_M6,QTD_SUPORTE_MOTIVO_22_M12,QTD_SUPORTE_MOTIVO_22_M18,QTD_SUPORTE_MOTIVO_22_M24,QTD_SUPORTE_MOTIVO_23_M1,QTD_SUPORTE_MOTIVO_23_M3,QTD_SUPORTE_MOTIVO_23_M6,QTD_SUPORTE_MOTIVO_23_M12,QTD_SUPORTE_MOTIVO_23_M18,QTD_SUPORTE_MOTIVO_23_M24,QTD_SUPORTE_MOTIVO_24_M1,QTD_SUPORTE_MOTIVO_24_M3,QTD_SUPORTE_MOTIVO_24_M6,QTD_SUPORTE_MOTIVO_24_M12,QTD_SUPORTE_MOTIVO_24_M18,QTD_SUPORTE_MOTIVO_24_M24,QTD_SUPORTE_MOTIVO_25_M1,QTD_SUPORTE_MOTIVO_25_M3,QTD_SUPORTE_MOTIVO_25_M6,QTD_SUPORTE_MOTIVO_25_M12,QTD_SUPORTE_MOTIVO_25_M18,QTD_SUPORTE_MOTIVO_25_M24,TARGET
0,1,N,4661300,GG,SP,0,0,28,1,98,8268.75,47376,54180,134620,109620,116930,118354,209450,225720,289940,47642,30294,34584,47244,100624,80150,61540,42750,21456,36556,36200,35880,56500,36452,29500,7922.675,7922.675,13772.5625,9349.25,10151.2625,8672.787499999999,12496.675,17672.4375,16987.2875,7922.675,13810.0125,1.136868375e-12,-3.375075e-13,8587.3875,8587.3875,8587.3875,8587.3875,8587.3875,8587.3875,8587.3875,8587.3875,12322.137499999999,8587.3875,8928.300000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,2,N,3250701,M,SP,0,0,28,1,72,2520.3875,2550,1824,1416,648,4768,5200,5432,3440,13560,7380,7854,6216,940,4134,2520,4920,34504,23050,5304,4704,4896,3976,3296,2064,878.5625,829.25,1195.925,786.1374999999999,1545.5,1373.85,1661.5,1729.35,2942.275,2316.3375,1773.8999999999999,1839.9875,1839.9875,1839.9875,2071.2125,2393.1,4076.6625,4815.65,1941.1875,1941.1875,1941.1875,1941.1875,1941.1875,1941.1875,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,3,3,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,3,N,3250705,P,SP,0,0,28,1,86,1895.4125,15960,17056,6876,960,96,1300,112,720,576,688,378,1340,1000,4104,640,184,882,720,13806,7488,27790,7700,3264,4752,2314.8125,3564.3624999999997,2128.3,1308.25,1308.25,1308.25,1308.25,1308.25,1308.25,1308.25,1308.25,1308.25,1308.25,1308.25,1308.25,1401.125,1401.125,1401.125,2236.4375,1803.1875,5156.675,1401.125,1401.125,1401.125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3,4,N,4672900,P,SP,0,0,28,1,218,412.5,36456,35240,38880,25140,33000,18368,22968,44632,39680,39996,27756,9376,13568,13200,6130,14848,35280,18044,19184,12068,13772,18840,6448,3740,6747.1375,7524.9,8480.449999999999,5678.200000000001,6965.4625,6065.7625,5964.325,7760.625,9302.775,8483.95,8027.224999999999,3706.3999999999996,5212.462500000001,5465.612499999999,3756.0750000000003,6407.35,4897.799999999999,4698.3625,7907.3875,5730.825,4837.3875,7458.6125,5327.925,2475.5125000000003,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0
4,5,N,4663000,GG,SP,0,0,28,1,91,7361.25,5448,2940,28594,19080,16050,5520,23464,18512,7992,8272,18414,12920,22680,135590,22280,82824,62560,39900,74880,46992,39534,37260,24912,25440,7326.65,7326.65,7326.65,7326.65,7326.65,7326.65,7571.325000000001,8681.025,7326.65,7592.3125,7326.65,9354.662499999999,10283.575,16201.15,10283.575,11950.875,11984.05,10722.6375,14892.112500000001,11105.599999999999,10283.575,10283.575,10283.575,10283.575,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
5,6,N,4691500,M,SP,0,0,28,1,73,2321.6375,18120,10640,12208,9240,7704,7680,7500,7152,4144,8244,13008,16548,11780,13272,9142,11840,7776,7968,6480,6180,5670,9720,9360,22784,10143.462500000001,5086.275,5209.225,4609.9375,4535.3125,4462.7375,4355.45,4179.7625,3573.4625,4826.3125,6963.2875,7390.475,7324.2625,5930.6875,5033.0625,4099.8125,5045.8,4926.1125,4759.375,4568.725,4193.2375,6131.887500000001,8606.4375,10519.9375,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,0,0,0,0,0,0,0,0,0,0,2,2,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
6,7,N,2829199,M,SC,0,0,28,2,92,1337.5375,1650,2340,3332,2400,2436,2432,2730,1638,1170,1740,1992,3132,4180,1300,2072,1734,7392,7786,8720,8702,15972,13572,24768,16324,895.2750000000001,895.2750000000001,1185.9625,896.725,1058.0375,896.725,1117.3625,896.725,896.725,969.275,1113.2250000000001,1151.7,1495.0749999999998,969.275,1184.7125,1184.7125,2247.55,2818.975,2814.75,2915.2999999999997,4587.475,4915.6,7009.5375,4778.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
7,8,N,8211300,P,MG,0,0,28,1,244,547.0,816,270,150,1764,936,9800,31350,7500,16492,18306,36672,2208,6888,28194,8880,34858,13826,21654,12288,4446,10104,23632,34144,53050,496.175,383.75,376.75,780.9375,503.175,2746.8875000000003,9039.95,1789.0875,3948.5375,5205.525,7152.0375,634.2875,3198.8625,5603.825000000001,2851.025,9758.8,3760.2125,8985.3125,5714.375,4391.6,11697.5375,22578.4,27835.375,27394.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
8,9,N,1330800,G,SC,0,0,28,1,127,5362.2375,8784,11560,9396,10566,5440,5610,6080,7632,6300,7210,5888,4086,5240,8802,8340,11880,6600,8272,7008,8220,12432,6192,6066,4144,3886.15,6090.6875,5492.7,5891.1625,3348.2375,3026.9625,3712.75,4342.0875,3411.7374999999997,5608.712500000001,4069.1125,4351.225,4351.225,4742.0,4351.225,5949.662499999999,4351.225,4351.225,4351.225,4351.225,4402.625,4551.3875,4551.3875,4551.3875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9,10,,4652400,GG,PR,0,0,28,1,118,6493.6125,29664,29408,49082,45584,43890,38692,44480,28296,37044,26272,26544,18788,23184,27680,15378,23968,24310,19448,31536,16884,20448,24140,14144,20628,4673.3375,5017.1625,6038.75,5596.1625,6434.387500000001,6493.474999999999,6345.375,5558.6375,6222.025,5353.137500000001,6718.75,6718.75,6718.75,1577.3249999999998,4874.625,5021.025000000001,4957.25,4795.3375,6194.712500000001,5195.275000000001,5284.75,5783.125,5133.412499999999,5133.412499999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10,11,N,2229399,GG,SC,0,0,28,1,92,2775.0,17918,5520,11414,10176,18624,7272,6500,9300,8256,10450,29766,5390,6786,7810,8040,8140,9592,6300,11616,12656,17680,14066,6966,4752,4834.35,3203.6875,4411.474999999999,4873.3125,4285.9625,3466.2625000000003,4468.737499999999,3627.5125000000003,3968.9125000000004,5447.9375,4966.787499999999,2820.4125,4184.8,4053.8,4882.075,4996.225,5368.762500000001,4394.150000000001,6094.387500000001,5901.05,6603.025,6945.8,5121.5,3514.5875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11,12,N,4673700,P,RS,0,0,28,1,82,12465.0375,25580,22194,23120,14350,20020,26708,25080,113344,101050,18720,29304,24528,64000,18688,30082,56534,22266,53184,35472,43200,41340,26860,25190,26676,9398.6,8913.825,8750.0,8750.0,8750.0,9100.0,9100.0,13467.162499999999,7086.912499999999,9100.0,11675.3125,9099.2625,9001.375,9100.0,9100.0,9100.0,9285.925,9600.5,12550.8,7792.7125,12516.824999999999,11311.1375,9600.5,8913.9875,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,2,0,0,0,0,0,0,0,2,3,4,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12,13,N,1314600,G,SP,0,0,28,1,84,0.0,18452,20254,18540,28210,34800,22580,56112,19720,18882,11124,21912,36872,24990,24618,17344,38040,36960,13342,15708,20992,14232,23184,28380,37890,2881.1625,3442.0875,4165.924999999999,4699.8375,5105.075,5097.200000000001,10046.8375,4552.125,4931.925,4281.5625,4592.375,4296.825,3925.8999999999996,5143.25,5067.2875,7310.4,6800.0875,4506.0875,6116.262500000001,6638.099999999999,5903.825000000001,6415.2,6350.3625,6361.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13,14,N,7732202,P,PE,0,0,28,1,140,869.05,8684,9096,4878,10318,11220,10608,8272,8352,8136,11520,6760,7392,10350,10784,4720,6360,5544,6160,5778,6180,5652,6080,5152,6066,2061.4500000000003,2146.9125,1440.5625,2505.7749999999996,2602.8125,2470.3625,2005.2875,1853.5,1905.6375,2974.2625,2011.375,2446.275,2446.275,2446.275,2446.275,1860.0,1709.0,1740.9875,1906.8000000000002,1892.3875,1880.975,1911.7625,2033.9875000000002,2021.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14,15,N,2219600,GG,RJ,0,0,14,1,73,5843.25,4160,5808,12100,9696,15744,5634,8398,6160,7254,4048,2916,9840,3640,9350,9240,6352,7578,5328,5552,8020,6016,4240,6760,6984,3796.375,3796.375,2.2759575e-13,4013.375,4282.0875,4355.325000000001,4631.8375,4165.5625,6412.575000000001,3914.0625,4199.6625,6374.025000000001,3914.0625,6318.55,4414.3125,5707.2875,6152.075,7170.6875,6582.975,7295.225,6604.5,4671.7375,4931.337500000001,6425.3625,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,3,0,0,0,0,1,1,0,0,0,0,0,0,0
15,16,N,4731800,GG,PR,0,0,28,1,70,9241.7125,80556,109510,119034,38828,57534,67590,104736,56112,55536,73884,68306,70110,43244,75850,83340,144430,68178,142926,90938,85140,87702,139580,149160,151552,5873.112499999999,7977.512500000001,8150.387500000001,1126.7625,161.2375,457.2625,8603.5625,5902.975,5970.2125,6744.325,7191.837500000001,7400.375,1326.0625,7400.599999999999,7607.275,10334.475,8306.7125,12027.0,8410.425,8781.3375,8403.2,8794.025,10349.112500000001,10946.400000000001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
16,17,N,1412601,GG,SC,0,0,28,1,96,5699.362499999999,58300,58688,61600,44910,32016,56724,44300,57616,28396,34470,41810,9660,30400,62916,49726,38240,47628,40062,40810,51100,58420,41656,41664,29172,7345.85,7825.012500000001,7968.6375,7560.287499999999,10022.9125,7803.5875,6441.537499999999,9227.3875,6825.225,6136.900000000001,10149.7375,3462.2125,5969.475,10999.825,8885.0125,7563.3,14749.112500000001,10040.5125,9189.7875,12396.7375,10013.3375,8033.474999999999,12995.8375,5976.799999999999,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
